,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,Nsanje,-16.92,35.262,73.45,90,99,2.44,MW,1639971223
115,Chui,-33.6971,-53.4616,65.03,91,0,8.63,UY,1639971224
116,Riyadh,24.6877,46.7219,60.94,48,100,11.52,SA,1639971022
117,Port Elizabeth,-33.918,25.5701,65.1,94,0,4.61,ZA,1639971224
118,Haines Junction,60.7522,-137.5108,-20.25,76,90,1.14,CA,1639971224
119,Labuhan,-6.8844,112.2051,84.29,72,100,3.49,ID,1639971224
120,Saint-Philippe,-21.3585,55.7679,83.48,81,46,7.54,RE,1639971225
121,George Town,5.4112,100.3354,85.93,71,20,2.3,MY,1639970946
122,Bathsheba,13.2167,-59.5167,79.41,73,20,25.32,BB,1639971225
123,São José da Coroa Grande,-8.8978,-35.1478,78.28,80,87,8.57,BR,1639971225
124,Vila Franca do Campo,37.7167,-25.4333,57.2,92,100,15.05,PT,1639971226
125,Mahébourg,-20.4081,57.7,81.25,78,20,3.44,MU,1639971226
126,Tsurib,42.2368,46.8307,33.12,69,5,16.6,RU,1639971226
127,Inhambane,-23.865,35.3833,73.36,78,99,8.08,MZ,1639971226
128,Alofi,-19.0595,-169.9187,84.09,65,75,18.41,NU,1639971227
129,Seydişehir,37.4193,31.8453,30.74,94,97,2.21,TR,1639971227
130,Vanimo,-2.6741,141.3028,86.49,67,96,10.16,PG,1639971228
131,Nikolskoye,59.7035,30.7861,19.29,91,100,11.41,RU,1639971228
132,Tuscaloosa,33.2098,-87.5692,38.98,91,1,3.44,US,1639971220
133,Touros,-5.1989,-35.4608,81.5,79,96,8.99,BR,1639971228
134,Soe,-9.8607,124.284,84.92,49,91,1.12,ID,1639971229
135,Chokurdakh,70.6333,147.9167,-1.75,92,100,15.7,RU,1639971229
136,Tessalit,20.1986,1.0114,62.71,23,56,10.65,ML,1639971229
137,Phonhong,18.5007,102.4166,73.22,48,51,1.34,LA,1639971289
138,Salisbury,51.0693,-1.7957,43.65,93,90,9.22,GB,1639971184
139,Jiaxing,30.7522,120.75,53.62,33,6,6.53,CN,1639971290
140,Taoudenni,22.6783,-3.9836,71.62,21,99,7.52,ML,1639971290
141,Hilo,19.7297,-155.09,73.11,49,90,3.44,US,1639971291
142,Ancud,-41.8697,-73.8203,58.23,95,15,1.5,CL,1639971291
143,Chumikan,54.7183,135.315,-5.55,85,99,8.84,RU,1639971291
144,Mar del Plata,-38.0023,-57.5575,68.09,95,0,3.0,AR,1639971196
145,Mozarlândia,-14.7447,-50.5706,73.51,92,88,4.23,BR,1639971098
146,Tuatapere,-46.1333,167.6833,60.82,86,99,13.62,NZ,1639971292
147,Krutinka,56.0055,71.5113,12.78,96,100,6.58,RU,1639971292
148,Thinadhoo,0.5333,72.9333,81.16,75,96,5.88,MV,1639971198
149,Muromtsevo,56.3724,75.2418,3.6,98,95,5.77,RU,1639971292
150,Cidreira,-30.1811,-50.2056,69.94,84,0,21.43,BR,1639971293
151,Baghdad,33.3406,44.4009,46.31,66,100,2.3,IQ,1639971293
152,Vaitape,-16.5167,-151.75,80.42,75,23,10.92,PF,1639971293
153,Maceió,-9.6658,-35.7353,78.24,88,20,4.61,BR,1639971293
154,San Fernando del Valle de Catamarca,-28.4696,-65.7852,87.78,46,100,1.99,AR,1639971293
155,Severo-Kuril'sk,50.6789,156.125,27.25,74,88,12.17,RU,1639971294
156,Intipucá,13.1969,-88.0544,77.58,80,72,3.2,SV,1639971294
157,Kumul,42.8,93.45,27.81,43,0,1.01,CN,1639971232
158,East London,-33.0153,27.9116,63.54,94,0,5.75,ZA,1639971294
159,Los Llanos de Aridane,28.6585,-17.9182,65.95,83,0,4.0,ES,1639971196
160,Qaanaaq,77.484,-69.3632,20.64,68,100,9.04,GL,1639971295
161,Qena,26.1615,32.7183,51.48,51,7,6.67,EG,1639971295
162,Eureka,40.8021,-124.1637,55.92,75,100,8.99,US,1639971260
163,Laguna,38.421,-121.4238,45.28,91,1,0.0,US,1639971296
164,Karratha,-20.7377,116.8463,93.31,50,8,18.16,AU,1639971055
165,Mossamedes,-15.1961,12.1522,68.77,71,62,8.75,AO,1639971263
166,Chetwayi,10.5333,76.05,77.07,56,10,15.5,IN,1639971296
